estado,unidade,equipamento,host
SC,0420-0 LAGES,SC0420SW150.sc.caixa,SC0420SW150.sc.caixa
SC,0420-0 LAGES,SC0420SW151.sc.caixa,SC0420SW151.sc.caixa
SC,0420-0 LAGES,SC0420SW152.sc.caixa,SC0420SW152.sc.caixa
SC,0420-0 LAGES,SC0420SW153.sc.caixa,SC0420SW153.sc.caixa
SC,0420-0 LAGES,SC0420SW154.sc.caixa,SC0420SW154.sc.caixa
SC,0420-0 LAGES,SC0420SW199.sc.caixa,SC0420SW199.sc.caixa
SC,0420-1 PAT PM LAGES,SC0420RA2.sc.caixa,SC0420RA2.sc.caixa
SC,0420-1 PAT PM LAGES,SC0420SW100.sc.caixa,SC0420SW100.sc.caixa
SC,0421-0 LAGUNA,SC0421RA1.sc.caixa,SC0421RA1.sc.caixa
SC,0421-0 LAGUNA,SC0421SW150.sc.caixa,SC0421SW150.sc.caixa
SC,0421-0 LAGUNA,SC0421SW151.sc.caixa,SC0421SW151.sc.caixa
SC,0421-0 LAGUNA,SC0421SW152.sc.caixa,SC0421SW152.sc.caixa
SC,0421-0 LAGUNA,SC0421SW199.sc.caixa,SC0421SW199.sc.caixa
SC,0422-0 PORTO UNIAO,SC0422RA1.sc.caixa,SC0422RA1.sc.caixa
SC,0422-0 PORTO UNIAO,SC0422SW020.sc.caixa,SC0422SW020.sc.caixa
SC,0422-0 PORTO UNIAO,SC0422SW021.sc.caixa,SC0422SW021.sc.caixa
SC,0422-0 PORTO UNIAO,SC0422SW022.sc.caixa,SC0422SW022.sc.caixa
SC,0422-0 PORTO UNIAO,SC0422SW050.sc.caixa,SC0422SW050.sc.caixa
SC,0423-0 RIO DO SUL,SC0423RA1.sc.caixa,SC0423RA1.sc.caixa
SC,0423-0 RIO DO SUL,SC0423SW150.sc.caixa,SC0423SW150.sc.caixa
SC,0423-0 RIO DO SUL,SC0423SW151.sc.caixa,SC0423SW151.sc.caixa
SC,0423-0 RIO DO SUL,SC0423SW152.sc.caixa,SC0423SW152.sc.caixa
SC,0423-0 RIO DO SUL,SC0423SW153.sc.caixa,SC0423SW153.sc.caixa
SC,0423-0 RIO DO SUL,SC0423SW154.sc.caixa,SC0423SW154.sc.caixa
SC,0423-0 RIO DO SUL,SC0423SW199.sc.caixa,SC0423SW199.sc.caixa
SC,0424-0 SAO FRANCISCO DO SUL,SC0424RA1.sc.caixa,SC0424RA1.sc.caixa
SC,0424-0 SAO FRANCISCO DO SUL,SC0424SW020.sc.caixa,SC0424SW020.sc.caixa
SC,0424-0 SAO FRANCISCO DO SUL,SC0424SW021.sc.caixa,SC0424SW021.sc.caixa
SC,0424-0 SAO FRANCISCO DO SUL,SC0424SW022.sc.caixa,SC0424SW022.sc.caixa
SC,0424-0 SAO FRANCISCO DO SUL,SC0424SW050.sc.caixa,SC0424SW050.sc.caixa
SC,0425-0 TUBARAO,SC0425RA1.sc.caixa,SC0425RA1.sc.caixa
SC,0425-0 TUBARAO,SC0425SW020.sc.caixa,SC0425SW020.sc.caixa
SC,0425-0 TUBARAO,SC0425SW150.sc.caixa,SC0425SW150.sc.caixa
SC,0425-0 TUBARAO,SC0425SW151.sc.caixa,SC0425SW151.sc.caixa
SC,0425-0 TUBARAO,SC0425SW152.sc.caixa,SC0425SW152.sc.caixa
SC,0425-0 TUBARAO,SC0425SW153.sc.caixa,SC0425SW153.sc.caixa
SC,0425-0 TUBARAO,SC0425SW199.sc.caixa,SC0425SW199.sc.caixa
SC,0426-0 SIDERoPOLIS,SC0426RA1.sc.caixa,SC0426RA1.sc.caixa
SC,0426-0 SIDERoPOLIS,SC0426SW150.sc.caixa,SC0426SW150.sc.caixa
SC,0426-0 SIDERoPOLIS,SC0426SW151.sc.caixa,SC0426SW151.sc.caixa
SC,0426-0 SIDERoPOLIS,SC0426SW199.sc.caixa,SC0426SW199.sc.caixa
SC,0427-0 ARARANGUA,SC0427RA1.sc.caixa,SC0427RA1.sc.caixa
SC,0427-0 ARARANGUA,SC0427SW150.sc.caixa,SC0427SW150.sc.caixa
SC,0427-0 ARARANGUA,SC0427SW151.sc.caixa,SC0427SW151.sc.caixa
SC,0427-0 ARARANGUA,SC0427SW152.sc.caixa,SC0427SW152.sc.caixa
SC,0427-0 ARARANGUA,SC0427SW153.sc.caixa,SC0427SW153.sc.caixa
SC,0427-0 ARARANGUA,SC0427SW199.sc.caixa,SC0427SW199.sc.caixa
SC,0535-0 PRoSPERA,SC0535RA1.sc.caixa,SC0535RA1.sc.caixa
SC,0535-0 PRoSPERA,SC0535SW020.sc.caixa,SC0535SW020.sc.caixa
SC,0535-0 PRoSPERA,SC0535SW021.sc.caixa,SC0535SW021.sc.caixa
SC,0535-0 PRoSPERA,SC0535SW050.sc.caixa,SC0535SW050.sc.caixa
SC,0547-0 BARRA SUL,SC0547RA1.sc.caixa,SC0547RA1.sc.caixa
SC,0547-0 BARRA SUL,SC0547SW020.sc.caixa,SC0547SW020.sc.caixa
SC,0547-0 BARRA SUL,SC0547SW021.sc.caixa,SC0547SW021.sc.caixa
SC,0547-0 BARRA SUL,SC0547SW050.sc.caixa,SC0547SW050.sc.caixa
SC,0549-0 SAO DOMINGOS,SC0549RA1.sc.caixa,SC0549RA1.sc.caixa
SC,0549-0 SAO DOMINGOS,SC0549SW020.sc.caixa,SC0549SW020.sc.caixa
SC,0549-0 SAO DOMINGOS,SC0549SW021.sc.caixa,SC0549SW021.sc.caixa
SC,0549-0 SAO DOMINGOS,SC0549SW050.sc.caixa,SC0549SW050.sc.caixa
SC,0571-0 CURITIBANOS,SC0571RA1.sc.caixa,SC0571RA1.sc.caixa
SC,0571-0 CURITIBANOS,SC0571SW020.sc.caixa,SC0571SW020.sc.caixa
SC,0571-0 CURITIBANOS,SC0571SW021.sc.caixa,SC0571SW021.sc.caixa
SC,0571-0 CURITIBANOS,SC0571SW022.sc.caixa,SC0571SW022.sc.caixa
SC,0571-0 CURITIBANOS,SC0571SW050.sc.caixa,SC0571SW050.sc.caixa
